earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2015-05-20,Mar,-13,7,2015-05-07,2015-05-27,6.26,6.46,0.20000000000000018
2015-03-11,Dec,-13,7,2015-02-26,2015-03-18,5.06,5.45,0.39000000000000057
2014-11-24,Sep,-13,7,2014-11-11,2014-12-01,6.44,6.33,-0.11000000000000032
2014-08-27,Jun,-13,7,2014-08-14,2014-09-03,8.45,7.4,-1.049999999999999
2016-08-29,Jun,-13,8,2016-08-16,2016-09-06,6.32,6.55,0.22999999999999954
2016-06-15,Mar,-13,8,2016-06-02,2016-06-23,5.59,5.2,-0.3899999999999997
2016-03-24,Dec,-13,8,2016-03-11,2016-04-01,7.39,7.18,-0.20999999999999996
2015-11-23,Sep,-13,8,2015-11-10,2015-12-01,6.99,7.0,0.009999999999999787
2015-08-17,Jun,-13,8,2015-08-04,2015-08-25,7.22,6.49,-0.7299999999999995
2015-05-20,Mar,-13,8,2015-05-07,2015-05-28,6.26,6.3,0.040000000000000036
2015-03-11,Dec,-13,8,2015-02-26,2015-03-19,5.06,5.58,0.5200000000000005
2014-11-24,Sep,-13,8,2014-11-11,2014-12-02,6.44,6.35,-0.09000000000000075
2014-08-27,Jun,-13,8,2014-08-14,2014-09-04,8.45,7.38,-1.0699999999999994
2016-08-29,Jun,-13,9,2016-08-16,2016-09-07,6.32,6.6,0.27999999999999936
2016-06-15,Mar,-13,9,2016-06-02,2016-06-24,5.59,5.06,-0.5300000000000002
2016-03-24,Dec,-13,9,2016-03-11,2016-04-01,7.39,7.18,-0.20999999999999996
2015-11-23,Sep,-13,9,2015-11-10,2015-12-02,6.99,7.14,0.14999999999999947
2015-08-17,Jun,-13,9,2015-08-04,2015-08-26,7.22,6.38,-0.8399999999999999
2015-05-20,Mar,-13,9,2015-05-07,2015-05-29,6.26,6.27,0.009999999999999787
2015-03-11,Dec,-13,9,2015-02-26,2015-03-20,5.06,5.69,0.6300000000000008
2014-11-24,Sep,-13,9,2014-11-11,2014-12-03,6.44,6.23,-0.20999999999999996
2014-08-27,Jun,-13,9,2014-08-14,2014-09-05,8.45,7.42,-1.0299999999999994
2016-08-29,Jun,-13,10,2016-08-16,2016-09-08,6.32,6.72,0.39999999999999947
2016-06-15,Mar,-13,10,2016-06-02,2016-06-24,5.59,5.06,-0.5300000000000002
2016-03-24,Dec,-13,10,2016-03-11,2016-04-01,7.39,7.18,-0.20999999999999996
2015-11-23,Sep,-13,10,2015-11-10,2015-12-03,6.99,7.43,0.4399999999999995
2015-08-17,Jun,-13,10,2015-08-04,2015-08-27,7.22,6.59,-0.6299999999999999
2015-05-20,Mar,-13,10,2015-05-07,2015-05-29,6.26,6.27,0.009999999999999787
2015-03-11,Dec,-13,10,2015-02-26,2015-03-20,5.06,5.69,0.6300000000000008
2014-11-24,Sep,-13,10,2014-11-11,2014-12-04,6.44,6.07,-0.3700000000000001
2014-08-27,Jun,-13,10,2014-08-14,2014-09-05,8.45,7.42,-1.0299999999999994
2016-08-29,Jun,-13,11,2016-08-16,2016-09-09,6.32,6.77,0.4499999999999993
2016-06-15,Mar,-13,11,2016-06-02,2016-06-24,5.59,5.06,-0.5300000000000002
2016-03-24,Dec,-13,11,2016-03-11,2016-04-04,7.39,7.1,-0.29000000000000004
2015-11-23,Sep,-13,11,2015-11-10,2015-12-04,6.99,7.52,0.5299999999999994
2015-08-17,Jun,-13,11,2015-08-04,2015-08-28,7.22,6.5,-0.7199999999999998
2015-05-20,Mar,-13,11,2015-05-07,2015-05-29,6.26,6.27,0.009999999999999787
2015-03-11,Dec,-13,11,2015-02-26,2015-03-20,5.06,5.69,0.6300000000000008
2014-11-24,Sep,-13,11,2014-11-11,2014-12-05,6.44,5.99,-0.4500000000000002
2014-08-27,Jun,-13,11,2014-08-14,2014-09-05,8.45,7.42,-1.0299999999999994
2016-08-29,Jun,-13,12,2016-08-16,2016-09-09,6.32,6.77,0.4499999999999993
2016-06-15,Mar,-13,12,2016-06-02,2016-06-27,5.59,4.99,-0.5999999999999996
2016-03-24,Dec,-13,12,2016-03-11,2016-04-05,7.39,7.1,-0.29000000000000004
2015-11-23,Sep,-13,12,2015-11-10,2015-12-04,6.99,7.52,0.5299999999999994
2015-08-17,Jun,-13,12,2015-08-04,2015-08-28,7.22,6.5,-0.7199999999999998
2015-05-20,Mar,-13,12,2015-05-07,2015-06-01,6.26,6.47,0.20999999999999996
2015-03-11,Dec,-13,12,2015-02-26,2015-03-23,5.06,5.58,0.5200000000000005
2014-11-24,Sep,-13,12,2014-11-11,2014-12-05,6.44,5.99,-0.4500000000000002
2014-08-27,Jun,-13,12,2014-08-14,2014-09-08,8.45,7.13,-1.3199999999999994
2016-08-29,Jun,-13,13,2016-08-16,2016-09-09,6.32,6.77,0.4499999999999993
2016-06-15,Mar,-13,13,2016-06-02,2016-06-28,5.59,4.91,-0.6799999999999997
2016-03-24,Dec,-13,13,2016-03-11,2016-04-06,7.39,7.16,-0.22999999999999954
2015-11-23,Sep,-13,13,2015-11-10,2015-12-04,6.99,7.52,0.5299999999999994
2015-08-17,Jun,-13,13,2015-08-04,2015-08-28,7.22,6.5,-0.7199999999999998
2015-05-20,Mar,-13,13,2015-05-07,2015-06-02,6.26,6.66,0.40000000000000036
2015-03-11,Dec,-13,13,2015-02-26,2015-03-24,5.06,5.53,0.47000000000000064
2014-11-24,Sep,-13,13,2014-11-11,2014-12-05,6.44,5.99,-0.4500000000000002
2014-08-27,Jun,-13,13,2014-08-14,2014-09-09,8.45,7.03,-1.419999999999999
2016-08-29,Jun,-13,14,2016-08-16,2016-09-12,6.32,6.8,0.47999999999999954
2016-06-15,Mar,-13,14,2016-06-02,2016-06-29,5.59,5.04,-0.5499999999999998
2016-03-24,Dec,-13,14,2016-03-11,2016-04-07,7.39,7.23,-0.15999999999999925
2015-11-23,Sep,-13,14,2015-11-10,2015-12-07,6.99,7.64,0.6499999999999995
2015-08-17,Jun,-13,14,2015-08-04,2015-08-31,7.22,6.52,-0.7000000000000002
2015-05-20,Mar,-13,14,2015-05-07,2015-06-03,6.26,6.66,0.40000000000000036
2015-03-11,Dec,-13,14,2015-02-26,2015-03-25,5.06,5.53,0.47000000000000064
2014-11-24,Sep,-13,14,2014-11-11,2014-12-08,6.44,5.87,-0.5700000000000003
2014-08-27,Jun,-13,14,2014-08-14,2014-09-10,8.45,6.98,-1.4699999999999989
2016-08-29,Jun,-12,0,2016-08-17,2016-08-29,6.3,6.52,0.21999999999999975
2016-06-15,Mar,-12,0,2016-06-03,2016-06-15,5.57,5.36,-0.20999999999999996
2016-03-24,Dec,-12,0,2016-03-14,2016-03-24,7.32,7.14,-0.1800000000000006
2015-11-23,Sep,-12,0,2015-11-11,2015-11-23,6.95,6.88,-0.07000000000000028
2015-08-17,Jun,-12,0,2015-08-05,2015-08-17,7.2,7.14,-0.0600000000000005
2015-05-20,Mar,-12,0,2015-05-08,2015-05-20,6.39,6.45,0.0600000000000005
2015-03-11,Dec,-12,0,2015-02-27,2015-03-11,5.04,5.11,0.07000000000000028
2014-11-24,Sep,-12,0,2014-11-12,2014-11-24,6.59,6.86,0.27000000000000046
2014-08-27,Jun,-12,0,2014-08-15,2014-08-27,8.4,8.15,-0.25
2016-08-29,Jun,-12,1,2016-08-17,2016-08-30,6.3,6.56,0.2599999999999998
2016-06-15,Mar,-12,1,2016-06-03,2016-06-16,5.57,5.31,-0.2600000000000007
2016-03-24,Dec,-12,1,2016-03-14,2016-03-24,7.32,7.14,-0.1800000000000006
2015-11-23,Sep,-12,1,2015-11-11,2015-11-24,6.95,6.87,-0.08000000000000007
2015-08-17,Jun,-12,1,2015-08-05,2015-08-18,7.2,7.11,-0.08999999999999986
2015-05-20,Mar,-12,1,2015-05-08,2015-05-21,6.39,6.57,0.1800000000000006
2015-03-11,Dec,-12,1,2015-02-27,2015-03-12,5.04,5.08,0.040000000000000036
2014-11-24,Sep,-12,1,2014-11-12,2014-11-25,6.59,6.57,-0.019999999999999574
2014-08-27,Jun,-12,1,2014-08-15,2014-08-28,8.4,7.98,-0.41999999999999993
2016-08-29,Jun,-12,2,2016-08-17,2016-08-31,6.3,6.53,0.23000000000000043
2016-06-15,Mar,-12,2,2016-06-03,2016-06-17,5.57,5.27,-0.3000000000000007
2016-03-24,Dec,-12,2,2016-03-14,2016-03-24,7.32,7.14,-0.1800000000000006
2015-11-23,Sep,-12,2,2015-11-11,2015-11-25,6.95,6.81,-0.14000000000000057
