earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2010-08-18,Jun,-14,5,2010-08-04,2010-08-23,2.48,2.47,-0.009999999999999787
2010-07-13,Mar,-14,5,2010-06-29,2010-07-16,1.67,2.1,0.43000000000000016
2010-02-11,Dec,-14,5,2010-01-28,2010-02-16,2.42,2.35,-0.06999999999999984
2009-11-19,Sep,-14,5,2009-11-05,2009-11-24,1.39,1.96,0.5700000000000001
2009-07-10,Mar,-14,5,2009-06-26,2009-07-15,0.62,0.67,0.050000000000000044
2016-07-05,Mar,-14,6,2016-06-21,2016-07-11,0.63,0.66,0.030000000000000027
2016-02-16,Dec,-14,6,2016-02-02,2016-02-22,0.99,0.92,-0.06999999999999995
2015-10-01,Jun,-14,6,2015-09-17,2015-10-07,1.28,1.24,-0.040000000000000036
2015-07-01,Mar,-14,6,2015-06-17,2015-07-07,1.36,1.09,-0.27
2015-04-03,Dec,-14,6,2015-03-20,2015-04-09,1.3,1.37,0.07000000000000006
2015-01-01,Sep,-14,6,2014-12-18,2015-01-07,1.03,1.05,0.020000000000000018
2014-08-21,Jun,-14,6,2014-08-07,2014-08-27,1.6,2.25,0.6499999999999999
2014-07-15,Mar,-14,6,2014-07-01,2014-07-21,1.79,1.6,-0.18999999999999995
2014-02-13,Dec,-14,6,2014-01-30,2014-02-19,2.15,2.1,-0.04999999999999982
2013-11-18,Sep,-14,6,2013-11-04,2013-11-22,1.86,1.9,0.039999999999999813
2013-08-13,Jun,-14,6,2013-07-30,2013-08-19,1.74,1.68,-0.06000000000000005
2013-07-12,Mar,-14,6,2013-06-28,2013-07-18,1.67,1.59,-0.07999999999999985
2013-02-15,Dec,-14,6,2013-02-01,2013-02-21,1.68,1.74,0.06000000000000005
2012-11-19,Sep,-14,6,2012-11-05,2012-11-23,1.66,1.69,0.030000000000000027
2012-08-15,Jun,-14,6,2012-08-01,2012-08-21,2.0,2.01,0.009999999999999787
2012-07-12,Mar,-14,6,2012-06-28,2012-07-18,2.0,2.02,0.020000000000000018
2012-02-15,Dec,-14,6,2012-02-01,2012-02-21,1.77,2.02,0.25
2011-11-16,Sep,-14,6,2011-11-02,2011-11-22,1.67,1.62,-0.04999999999999982
2011-08-18,Jun,-14,6,2011-08-04,2011-08-24,1.69,1.65,-0.040000000000000036
2011-07-13,Mar,-14,6,2011-06-29,2011-07-19,2.1,1.85,-0.25
2011-02-17,Dec,-14,6,2011-02-03,2011-02-23,2.08,2.44,0.3599999999999999
2010-11-16,Sep,-14,6,2010-11-02,2010-11-22,2.0,2.05,0.04999999999999982
2010-08-18,Jun,-14,6,2010-08-04,2010-08-24,2.48,2.44,-0.040000000000000036
2010-07-13,Mar,-14,6,2010-06-29,2010-07-19,1.67,2.11,0.43999999999999995
2010-02-11,Dec,-14,6,2010-01-28,2010-02-17,2.42,2.35,-0.06999999999999984
2009-11-19,Sep,-14,6,2009-11-05,2009-11-25,1.39,1.99,0.6000000000000001
2009-07-10,Mar,-14,6,2009-06-26,2009-07-16,0.62,0.68,0.06000000000000005
2016-07-05,Mar,-14,7,2016-06-21,2016-07-12,0.63,0.65,0.020000000000000018
2016-02-16,Dec,-14,7,2016-02-02,2016-02-23,0.99,0.93,-0.05999999999999994
2015-10-01,Jun,-14,7,2015-09-17,2015-10-08,1.28,1.28,0.0
2015-07-01,Mar,-14,7,2015-06-17,2015-07-08,1.36,1.09,-0.27
2015-04-03,Dec,-14,7,2015-03-20,2015-04-10,1.3,1.37,0.07000000000000006
2015-01-01,Sep,-14,7,2014-12-18,2015-01-08,1.03,1.01,-0.020000000000000018
2014-08-21,Jun,-14,7,2014-08-07,2014-08-28,1.6,2.17,0.5699999999999998
2014-07-15,Mar,-14,7,2014-07-01,2014-07-22,1.79,1.62,-0.16999999999999993
2014-02-13,Dec,-14,7,2014-01-30,2014-02-20,2.15,2.07,-0.08000000000000007
2013-11-18,Sep,-14,7,2013-11-04,2013-11-25,1.86,1.84,-0.020000000000000018
2013-08-13,Jun,-14,7,2013-07-30,2013-08-20,1.74,1.7,-0.040000000000000036
2013-07-12,Mar,-14,7,2013-06-28,2013-07-19,1.67,1.71,0.040000000000000036
2013-02-15,Dec,-14,7,2013-02-01,2013-02-22,1.68,1.73,0.050000000000000044
2012-11-19,Sep,-14,7,2012-11-05,2012-11-26,1.66,1.66,0.0
2012-08-15,Jun,-14,7,2012-08-01,2012-08-22,2.0,2.05,0.04999999999999982
2012-07-12,Mar,-14,7,2012-06-28,2012-07-19,2.0,2.09,0.08999999999999986
2012-02-15,Dec,-14,7,2012-02-01,2012-02-22,1.77,2.08,0.31000000000000005
2011-11-16,Sep,-14,7,2011-11-02,2011-11-23,1.67,1.6,-0.06999999999999984
2011-08-18,Jun,-14,7,2011-08-04,2011-08-25,1.69,1.63,-0.06000000000000005
2011-07-13,Mar,-14,7,2011-06-29,2011-07-20,2.1,1.91,-0.19000000000000017
2011-02-17,Dec,-14,7,2011-02-03,2011-02-24,2.08,2.43,0.3500000000000001
2010-11-16,Sep,-14,7,2010-11-02,2010-11-23,2.0,2.1,0.10000000000000009
2010-08-18,Jun,-14,7,2010-08-04,2010-08-25,2.48,2.48,0.0
2010-07-13,Mar,-14,7,2010-06-29,2010-07-20,1.67,2.16,0.4900000000000002
2010-02-11,Dec,-14,7,2010-01-28,2010-02-18,2.42,2.3,-0.1200000000000001
2009-11-19,Sep,-14,7,2009-11-05,2009-11-25,1.39,1.99,0.6000000000000001
2009-07-10,Mar,-14,7,2009-06-26,2009-07-17,0.62,0.66,0.040000000000000036
2016-07-05,Mar,-14,8,2016-06-21,2016-07-13,0.63,0.67,0.040000000000000036
2016-02-16,Dec,-14,8,2016-02-02,2016-02-24,0.99,0.95,-0.040000000000000036
2015-10-01,Jun,-14,8,2015-09-17,2015-10-09,1.28,1.28,0.0
2015-07-01,Mar,-14,8,2015-06-17,2015-07-09,1.36,1.07,-0.29000000000000004
2015-04-03,Dec,-14,8,2015-03-20,2015-04-10,1.3,1.37,0.07000000000000006
2015-01-01,Sep,-14,8,2014-12-18,2015-01-09,1.03,1.06,0.030000000000000027
2014-08-21,Jun,-14,8,2014-08-07,2014-08-29,1.6,2.18,0.5800000000000001
2014-07-15,Mar,-14,8,2014-07-01,2014-07-23,1.79,1.6,-0.18999999999999995
2014-02-13,Dec,-14,8,2014-01-30,2014-02-21,2.15,2.09,-0.06000000000000005
2013-11-18,Sep,-14,8,2013-11-04,2013-11-26,1.86,1.86,0.0
2013-08-13,Jun,-14,8,2013-07-30,2013-08-21,1.74,1.68,-0.06000000000000005
2013-07-12,Mar,-14,8,2013-06-28,2013-07-19,1.67,1.71,0.040000000000000036
2013-02-15,Dec,-14,8,2013-02-01,2013-02-22,1.68,1.73,0.050000000000000044
2012-11-19,Sep,-14,8,2012-11-05,2012-11-27,1.66,1.68,0.020000000000000018
2012-08-15,Jun,-14,8,2012-08-01,2012-08-23,2.0,2.06,0.06000000000000005
2012-07-12,Mar,-14,8,2012-06-28,2012-07-20,2.0,2.07,0.06999999999999984
2012-02-15,Dec,-14,8,2012-02-01,2012-02-23,1.77,2.0,0.22999999999999998
2011-11-16,Sep,-14,8,2011-11-02,2011-11-23,1.67,1.6,-0.06999999999999984
2011-08-18,Jun,-14,8,2011-08-04,2011-08-26,1.69,1.57,-0.11999999999999988
2011-07-13,Mar,-14,8,2011-06-29,2011-07-21,2.1,1.9,-0.20000000000000018
2011-02-17,Dec,-14,8,2011-02-03,2011-02-25,2.08,2.47,0.3900000000000001
2010-11-16,Sep,-14,8,2010-11-02,2010-11-24,2.0,2.12,0.1200000000000001
2010-08-18,Jun,-14,8,2010-08-04,2010-08-26,2.48,2.49,0.010000000000000231
2010-07-13,Mar,-14,8,2010-06-29,2010-07-21,1.67,2.12,0.4500000000000002
2010-02-11,Dec,-14,8,2010-01-28,2010-02-19,2.42,2.3,-0.1200000000000001
2009-11-19,Sep,-14,8,2009-11-05,2009-11-27,1.39,1.98,0.5900000000000001
2009-07-10,Mar,-14,8,2009-06-26,2009-07-17,0.62,0.66,0.040000000000000036
2016-07-05,Mar,-14,9,2016-06-21,2016-07-14,0.63,0.67,0.040000000000000036
2016-02-16,Dec,-14,9,2016-02-02,2016-02-25,0.99,0.92,-0.06999999999999995
